,Frame,Driver,Speed,Sector,Lap,Lap Time,T_Delta
0,118,VERSTAPPEN,291,,Q2,1:15.650,0.030241854636591476
0,119,VERSTAPPEN,291,,Q2,1:15.650,0.030241854636591476
0,120,VERSTAPPEN,292,,Q2,1:15.650,0.030241854636591476
0,121,VERSTAPPEN,292,,Q2,1:15.650,0.030241854636591476
0,122,VERSTAPPEN,292,,Q2,1:15.650,0.030241854636591476
0,123,VERSTAPPEN,292,,Q2,1:15.650,0.030241854636591476
0,124,VERSTAPPEN,293,,Q2,1:15.650,0.030241854636591476
0,125,VERSTAPPEN,293,,Q2,1:15.650,0.030241854636591476
0,126,VERSTAPPEN,293,,Q2,1:15.650,0.030241854636591476
0,127,VERSTAPPEN,293,,Q2,1:15.650,0.030241854636591476
0,128,VERSTAPPEN,293,,Q2,1:15.650,0.030241854636591476
0,129,VERSTAPPEN,293,,Q2,1:15.650,0.030241854636591476
0,130,VERSTAPPEN,293,,Q2,1:15.650,0.030241854636591476
0,131,VERSTAPPEN,293,,Q2,1:15.650,0.030241854636591476
0,132,VERSTAPPEN,294,,Q2,1:15.650,0.030241854636591476
0,133,VERSTAPPEN,294,,Q2,1:15.650,0.030241854636591476
0,134,VERSTAPPEN,294,,Q2,1:15.650,0.030241854636591476
0,135,VERSTAPPEN,294,,Q2,1:15.650,0.030241854636591476
0,136,VERSTAPPEN,295,,Q2,1:15.650,0.030241854636591476
0,137,VERSTAPPEN,295,,Q2,1:15.650,0.030241854636591476
0,138,VERSTAPPEN,295,,Q2,1:15.650,0.030241854636591476
0,139,VERSTAPPEN,295,,Q2,1:15.650,0.030241854636591476
0,140,VERSTAPPEN,296,,Q2,1:15.650,0.030241854636591476
0,141,VERSTAPPEN,296,,Q2,1:15.650,0.030241854636591476
0,142,VERSTAPPEN,296,,Q2,1:15.650,0.030241854636591476
