,Frame,Driver,Speed,Sector,Lap,Lap Time,T_Delta
0,200,HAMILTON,230,,L1 (Crash),00:55.0,0.029666012
0,201,HAMILTON,231,,L1 (Crash),00:55.0,0.029666012
0,202,HAMILTON,231,,L1 (Crash),00:55.0,0.029666012
0,203,HAMILTON,232,,L1 (Crash),00:55.0,0.029666012
0,204,HAMILTON,232,,L1 (Crash),00:55.0,0.029666012
0,205,HAMILTON,232,,L1 (Crash),00:55.0,0.029666012
0,206,HAMILTON,233,,L1 (Crash),00:55.0,0.029666012
0,207,HAMILTON,233,,L1 (Crash),00:55.0,0.029666012
0,208,HAMILTON,233,,L1 (Crash),00:55.0,0.029666012
0,209,HAMILTON,234,,L1 (Crash),00:55.0,0.029666012
0,210,HAMILTON,235,,L1 (Crash),00:55.0,0.029666012
0,211,HAMILTON,235,,L1 (Crash),00:55.0,0.029666012
0,212,HAMILTON,237,,L1 (Crash),00:55.0,0.029666012
0,213,HAMILTON,237,,L1 (Crash),00:55.0,0.029666012
0,214,HAMILTON,237,,L1 (Crash),00:55.0,0.029666012
0,215,HAMILTON,239,,L1 (Crash),00:55.0,0.029666012
0,216,HAMILTON,239,,L1 (Crash),00:55.0,0.029666012
0,217,HAMILTON,240,,L1 (Crash),00:55.0,0.029666012
0,218,HAMILTON,241,,L1 (Crash),00:55.0,0.029666012
0,219,HAMILTON,241,,L1 (Crash),00:55.0,0.029666012
0,220,HAMILTON,242,,L1 (Crash),00:55.0,0.029666012
0,221,HAMILTON,243,,L1 (Crash),00:55.0,0.029666012
0,222,HAMILTON,243,,L1 (Crash),00:55.0,0.029666012
0,223,HAMILTON,244,,L1 (Crash),00:55.0,0.029666012
0,224,HAMILTON,245,,L1 (Crash),00:55.0,0.029666012
0,225,HAMILTON,245,,L1 (Crash),00:55.0,0.029666012
0,226,HAMILTON,245,,L1 (Crash),00:55.0,0.029666012
0,227,HAMILTON,245,,L1 (Crash),00:55.0,0.029666012
0,228,HAMILTON,245,,L1 (Crash),00:55.0,0.029666012
0,229,HAMILTON,245,,L1 (Crash),00:55.0,0.029666012
0,230,HAMILTON,246,,L1 (Crash),00:55.0,0.029666012
0,231,HAMILTON,246,,L1 (Crash),00:55.0,0.029666012
0,232,HAMILTON,246,,L1 (Crash),00:55.0,0.029666012
0,233,HAMILTON,246,,L1 (Crash),00:55.0,0.029666012
0,234,HAMILTON,246,,L1 (Crash),00:55.0,0.029666012
0,235,HAMILTON,244,,L1 (Crash),00:55.0,0.029666012
