,Frame,Driver,Speed,Sector,Lap,Lap Time,T_Delta
0,169,VERSTAPPEN,203,,L1 (Crash),00:55.0,0.02969296
0,170,VERSTAPPEN,204,,L1 (Crash),00:55.0,0.02969296
0,171,VERSTAPPEN,204,,L1 (Crash),00:55.0,0.02969296
0,172,VERSTAPPEN,204,,L1 (Crash),00:55.0,0.02969296
0,173,VERSTAPPEN,206,,L1 (Crash),00:55.0,0.02969296
0,174,VERSTAPPEN,207,,L1 (Crash),00:55.0,0.02969296
0,175,VERSTAPPEN,209,,L1 (Crash),00:55.0,0.02969296
0,176,VERSTAPPEN,209,,L1 (Crash),00:55.0,0.02969296
0,177,VERSTAPPEN,210,,L1 (Crash),00:55.0,0.02969296
0,178,VERSTAPPEN,210,,L1 (Crash),00:55.0,0.02969296
0,179,VERSTAPPEN,212,,L1 (Crash),00:55.0,0.02969296
0,180,VERSTAPPEN,213,,L1 (Crash),00:55.0,0.02969296
0,181,VERSTAPPEN,213,,L1 (Crash),00:55.0,0.02969296
0,182,VERSTAPPEN,213,,L1 (Crash),00:55.0,0.02969296
0,183,VERSTAPPEN,214,,L1 (Crash),00:55.0,0.02969296
0,184,VERSTAPPEN,215,,L1 (Crash),00:55.0,0.02969296
0,185,VERSTAPPEN,215,,L1 (Crash),00:55.0,0.02969296
0,186,VERSTAPPEN,217,,L1 (Crash),00:55.0,0.02969296
0,187,VERSTAPPEN,218,,L1 (Crash),00:55.0,0.02969296
0,188,VERSTAPPEN,218,,L1 (Crash),00:55.0,0.02969296
0,189,VERSTAPPEN,220,,L1 (Crash),00:55.0,0.02969296
0,190,VERSTAPPEN,220,,L1 (Crash),00:55.0,0.02969296
0,191,VERSTAPPEN,221,,L1 (Crash),00:55.0,0.02969296
0,192,VERSTAPPEN,222,,L1 (Crash),00:55.0,0.02969296
0,193,VERSTAPPEN,224,,L1 (Crash),00:55.0,0.02969296
0,194,VERSTAPPEN,224,,L1 (Crash),00:55.0,0.02969296
0,195,VERSTAPPEN,226,,L1 (Crash),00:55.0,0.02969296
0,196,VERSTAPPEN,226,,L1 (Crash),00:55.0,0.02969296
0,197,VERSTAPPEN,226,,L1 (Crash),00:55.0,0.02969296
0,198,VERSTAPPEN,228,,L1 (Crash),00:55.0,0.02969296
0,199,VERSTAPPEN,228,,L1 (Crash),00:55.0,0.02969296
0,200,VERSTAPPEN,228,,L1 (Crash),00:55.0,0.02969296
0,201,VERSTAPPEN,228,,L1 (Crash),00:55.0,0.02969296
0,202,VERSTAPPEN,228,,L1 (Crash),00:55.0,0.02969296
0,203,VERSTAPPEN,228,,L1 (Crash),00:55.0,0.02969296
0,204,VERSTAPPEN,228,,L1 (Crash),00:55.0,0.02969296
0,205,VERSTAPPEN,228,,L1 (Crash),00:55.0,0.02969296
0,206,VERSTAPPEN,228,,L1 (Crash),00:55.0,0.02969296
0,207,VERSTAPPEN,230,,L1 (Crash),00:55.0,0.02969296
0,208,VERSTAPPEN,230,,L1 (Crash),00:55.0,0.02969296
0,209,VERSTAPPEN,233,,L1 (Crash),00:55.0,0.02969296
0,210,VERSTAPPEN,233,,L1 (Crash),00:55.0,0.02969296
0,211,VERSTAPPEN,235,,L1 (Crash),00:55.0,0.02969296
0,212,VERSTAPPEN,237,,L1 (Crash),00:55.0,0.02969296
0,213,VERSTAPPEN,238,,L1 (Crash),00:55.0,0.02969296
0,214,VERSTAPPEN,238,,L1 (Crash),00:55.0,0.02969296
0,215,VERSTAPPEN,238,,L1 (Crash),00:55.0,0.02969296
0,216,VERSTAPPEN,238,,L1 (Crash),00:55.0,0.02969296
0,217,VERSTAPPEN,238,,L1 (Crash),00:55.0,0.02969296
0,218,VERSTAPPEN,238,,L1 (Crash),00:55.0,0.02969296
0,219,VERSTAPPEN,238,,L1 (Crash),00:55.0,0.02969296
0,220,VERSTAPPEN,238,,L1 (Crash),00:55.0,0.02969296
0,221,VERSTAPPEN,238,,L1 (Crash),00:55.0,0.02969296
0,222,VERSTAPPEN,239,,L1 (Crash),00:55.0,0.02969296
0,223,VERSTAPPEN,239,,L1 (Crash),00:55.0,0.02969296
0,224,VERSTAPPEN,240,,L1 (Crash),00:55.0,0.02969296
0,225,VERSTAPPEN,240,,L1 (Crash),00:55.0,0.02969296
0,226,VERSTAPPEN,242,,L1 (Crash),00:55.0,0.02969296
0,227,VERSTAPPEN,242,,L1 (Crash),00:55.0,0.02969296
0,228,VERSTAPPEN,244,,L1 (Crash),00:55.0,0.02969296
0,229,VERSTAPPEN,244,,L1 (Crash),00:55.0,0.02969296
0,230,VERSTAPPEN,244,,L1 (Crash),00:55.0,0.02969296
0,231,VERSTAPPEN,246,,L1 (Crash),00:55.0,0.02969296
0,232,VERSTAPPEN,246,,L1 (Crash),00:55.0,0.02969296
0,233,VERSTAPPEN,246,,L1 (Crash),00:55.0,0.02969296
0,234,VERSTAPPEN,247,,L1 (Crash),00:55.0,0.02969296
0,235,VERSTAPPEN,247,,L1 (Crash),00:55.0,0.02969296
0,236,VERSTAPPEN,248,,L1 (Crash),00:55.0,0.02969296
0,237,VERSTAPPEN,248,,L1 (Crash),00:55.0,0.02969296
0,238,VERSTAPPEN,248,,L1 (Crash),00:55.0,0.02969296
0,239,VERSTAPPEN,249,,L1 (Crash),00:55.0,0.02969296
0,240,VERSTAPPEN,249,,L1 (Crash),00:55.0,0.02969296
0,241,VERSTAPPEN,249,,L1 (Crash),00:55.0,0.02969296
0,242,VERSTAPPEN,249,,L1 (Crash),00:55.0,0.02969296
0,243,VERSTAPPEN,249,,L1 (Crash),00:55.0,0.02969296
0,244,VERSTAPPEN,249,,L1 (Crash),00:55.0,0.02969296
0,245,VERSTAPPEN,249,,L1 (Crash),00:55.0,0.02969296
0,246,VERSTAPPEN,250,,L1 (Crash),00:55.0,0.02969296
0,247,VERSTAPPEN,250,,L1 (Crash),00:55.0,0.02969296
0,248,VERSTAPPEN,250,,L1 (Crash),00:55.0,0.02969296
0,249,VERSTAPPEN,250,,L1 (Crash),00:55.0,0.02969296
0,250,VERSTAPPEN,251,,L1 (Crash),00:55.0,0.02969296
